trial,pnl,type_a_min,type_b_min,type_c_min,confluence_threshold,zone_high_min,zone_high_bonus,zone_mid_bonus,absorb_wick_min,absorb_delta_max,stop_vol_mult,evr_vol_mult,exhaust_wick_min,fade_threshold,tail_threshold,trap_delta_ratio
75,169.75,82.68986680690878,55.04134314970597,49.1610709334237,4,48.757339743202515,8.403779815877499,7.489134007990818,33.98354884640496,0.11941221836339337,2.8558910923873966,1.68750945715156,32.683232277851225,0.5418659265048091,0.8855579133906499,0.3998539136330021
73,155.25,85.02481046840273,55.04914542049688,47.834675100173754,4,48.85162469177993,8.409974058433049,7.521808778009193,34.26726833742142,0.10998524696639027,2.8027082788440456,1.5936656879502025,34.06386081454065,0.5179217222135243,0.8809976432586167,0.3943318990595511
58,135.75,78.16218496393897,55.511574124920934,45.19540192452874,4,52.04744003442295,9.54054241558582,6.556289670108543,32.338992732342405,0.09938036248754947,2.638110816487219,1.6154437471710408,40.48549774804584,0.5315410109745324,0.8703790332499817,0.3600566523119596
76,118.25,84.8397830128323,55.04971003917545,48.832944026145775,4,48.94182006619207,8.413632155741999,7.516333779486407,33.93983734528697,0.1249331132251118,2.86995878268809,1.7155800289573218,32.324264102955375,0.5694599434985912,0.8845055898344938,0.3957781138542499
23,113.75,84.19922575136522,55.0046245466927,42.10164842867551,4,47.681665988444955,6.860087900389965,6.963414190527157,35.954241114308694,0.12244618470958178,2.8928759626523304,1.7235030513304754,28.234022107960058,0.7249184325055433,0.8822290590907493,0.41036866581132353
78,110.5,84.86463701614569,55.032757495863244,49.65907959178621,4,45.91833764233204,8.395291804425046,7.522365716003502,33.893152685755105,0.13481721929185278,2.948178931621806,1.7223093520616064,30.84915557262669,0.5652754755913332,0.8830743589753226,0.4008545778471422
48,99.5,78.8675687812893,55.03305752992445,46.66932319135347,4,54.34981074770153,6.836246135020951,7.8606129298957725,31.470665182939186,0.1087329119562009,2.6926729630596022,1.6046882324186356,35.319873999394176,0.7243567854240296,0.9495944090587485,0.43649014859850627
72,91.5,84.70452131373287,55.560709763620395,47.86877961565279,4,49.02398094640773,8.444629999904013,7.670629407512737,34.32498422821019,0.12551852980732436,2.7901220024932467,1.6553777471385578,34.226196854012564,0.5181013415653911,0.8814423826197954,0.3928052361845479
77,87.25,84.6851485667385,55.93102609029432,49.43672587411488,4,46.998653803722746,8.364464089328294,7.501244141487725,34.27795494399842,0.12507501222496184,2.930028356479415,1.7204401633705457,29.44855015231916,0.5427577023142858,0.8708356614347136,0.39575593479271204
63,82.0,82.14085751736516,55.53715654939437,43.81637453792,4,54.31559864788345,8.181961838409478,6.789460116978094,34.60508824492427,0.11511391076527866,2.6430135763744835,1.693937201017752,32.50476040549005,0.513888651162133,0.8579146607436525,0.357148160822904
12,80.75,89.98724877283102,55.09078997455695,46.36287766149396,4,50.95855152889929,6.08241625004089,7.949101671283471,37.796485398434186,0.11469278989517753,2.855800078387794,1.6787001125719416,35.193677331322895,0.7456910399018595,0.8882514080575769,0.385288297794987
10,71.75,89.52722672224255,55.11994365911635,46.32837768075974,4,50.05062435349593,6.154900799844732,7.880188644633205,36.91430949356949,0.10816063355986257,2.7524230528581413,1.6220057544142426,35.01331926120512,0.7289094926947185,0.8879910005152583,0.4484990033833895
56,70.25,88.09441104661265,55.54105221559433,45.308298556907744,4,52.76517096915072,7.753408544723891,7.163319313346414,31.836098072138356,0.10619022656931307,2.669738496731825,1.6281312282673122,38.17814240860969,0.520450221759456,0.8743858576212885,0.36388715531911575
21,59.0,88.5443833785893,55.53708901615262,46.34961929331014,4,50.38764585567603,6.369657626620885,7.948688224517654,36.70815844506327,0.12693431857323945,2.6693711547324455,1.655984720587551,34.92976895253045,0.7423730723562759,0.9016463007342238,0.3896604066717856
31,52.5,87.23317138832277,56.08136459271787,46.29406656057447,4,50.05053327151119,6.290426507192389,7.95079942774497,36.419626116352894,0.1284219048136501,2.6895079094559704,1.6420573342233697,38.91776719571708,0.7355190370996605,0.8992986543700383,0.400980117561395
42,50.75,88.99448187364655,56.09234585058381,46.230924664012214,4,52.27747773439817,6.423877744814505,7.995096645527887,36.47894138909604,0.11295725318884933,2.7277411415039308,1.6410477202949187,43.806048448821514,0.7160246918236584,0.8990082347360198,0.42048530482281193
34,46.5,86.77800772184057,55.02982039825742,49.29765876751187,4,49.5481024608996,6.081389663816798,7.0824940904288765,36.81766802027992,0.10363677645905855,2.6610392431518863,1.7900750985416218,29.772617876695875,0.732494712082778,0.8961929132207078,0.23903661300065135
13,45.75,89.72302982164207,55.41454247560451,46.60654879144103,4,49.99287578181312,6.155264081048824,7.927001965273983,36.763628565122154,0.12499833306829143,2.7212693708095435,1.6746906232044323,34.9916018540926,0.7449116249203072,0.9034361615158263,0.3877493090031315
43,38.0,85.95430462533179,56.13929294467558,47.33454659488154,4,50.44135270344124,6.597436369817377,7.546363088511895,38.805139755347014,0.1075024562724026,2.552213644191356,1.7051039366021872,41.615960457471026,0.7465400838327846,0.8914044417174171,0.40361339152564063
27,37.25,79.47049366319389,55.04239481809693,45.1845124530609,4,48.520413624350624,6.73155235188181,6.869864269675044,35.44585330809109,0.0930953852787022,2.5104409045653453,1.8546510761790131,25.23585922117114,0.7242056199309862,0.8784509934509495,0.3389367989866964
15,35.0,70.06325754023851,55.12177521323334,49.50705140736271,6,53.07870547805485,6.056068981567455,6.659876253970847,34.68741939308534,0.12919308353646353,2.986915794215399,1.4422845182010002,25.630760746203443,0.7030540066082323,0.9350049151803113,0.3566620580372299
11,34.25,89.36907440749057,56.49481589981349,46.509504551834176,4,50.36318331328637,6.385392384127688,7.994487168898058,37.69312976751837,0.10744849732824809,2.8249882510667654,1.6106564802602252,34.70829416637873,0.7490041329368589,0.888928585811293,0.44800166641396005
8,31.25,86.14880310328125,72.92182599846987,47.08805559954982,4,44.55870325083883,7.708431154505025,7.272059063689973,41.51826458140859,0.08069521305311907,2.2661209538663485,1.5339288025190232,30.552695261768257,0.5299663418334207,0.8938899722824716,0.4357274259781298
79,31.0,83.40711211418335,73.49849966480095,50.76570476266172,4,45.8290364804108,8.59114100300321,7.420203812265405,33.749900364808234,0.14168845656400286,2.8708937852765946,1.6577966093198735,30.830319847298018,0.570171438978754,0.8841875149888943,0.4051670767253372
60,29.5,78.43600399761227,55.00215056287446,45.4077326888453,4,53.23592824878656,9.69563480934277,6.9313427907346785,26.71377146401385,0.08386129783836459,2.6193158403833245,1.562224307932681,40.121780402882806,0.56583931864513,0.8684955034783739,0.31852401983220563
6,24.75,72.39188491876604,69.2648957444599,54.17256077787036,5,55.41934359909122,7.975182385457563,6.090931317527977,30.688525458963742,0.08254191267440952,1.6618371404899568,1.2251433485493874,40.91026028159451,0.5785889952690817,0.9161141898514114,0.42689161848152324
25,24.75,83.91726024839812,56.58632038518721,43.717580267883015,4,40.053359225545634,6.813273993497116,7.4776277705856815,40.2617533236742,0.11882079391237792,2.7686422775735178,1.5443673401880207,27.925451816946904,0.6791083495075094,0.8845679228826164,0.4015465904200286
64,22.25,79.85935604196621,56.535475348857254,43.61099472029861,4,55.683970727143425,8.22468905995936,6.6361250213439655,34.07058388091367,0.11304728798031193,2.586295294560785,1.6992214773329977,28.909229072071494,0.5148681582273599,0.8558823077493142,0.4421019514091727
50,21.5,79.33481420187137,55.051054166052374,46.705866343573135,4,53.552323858166766,6.664287515312489,4.888195989573048,31.643896673491813,0.10301769485402353,2.8015174793100064,1.7245639923555642,32.649192882455964,0.6958779914513874,0.9536648161273692,0.4409255894987068
44,20.0,87.17980416609835,57.41418297373949,47.04659664861055,4,47.296141149624894,6.160592001419391,7.2020939975455684,36.622880922096044,0.127988827051684,2.9059824195059765,1.4922527719851375,38.146036056865086,0.7371433991450419,0.8731813529226323,0.43542361814088365
49,19.5,77.08171509926392,56.92626221573043,50.188645929980595,5,54.86369720945039,6.848596530612669,7.645725131746806,26.339605413742085,0.10918501803717723,2.46211109138364,1.4977698031824072,26.649785169977044,0.5550809480915346,0.9532735166452067,0.43439506780340104
46,19.25,87.88253478672509,71.48483623903859,45.550803817294366,4,49.6399340939213,7.07428046432837,6.779752381038342,37.325698594984416,0.11918052323119269,2.258218803393387,1.6421108696532698,34.286468163992495,0.6815286822936459,0.899680211334815,0.32985151081663044
41,18.0,87.08223520829755,56.01403196112117,45.89022191752058,4,49.256397075926195,6.256799014938699,7.815278400072141,35.978092709517455,0.13099101488695197,2.6768715696152743,1.5754376011819202,39.133499843943724,0.7332179579898109,0.8988175850888209,0.39314815972840506
45,17.75,88.9235903963164,55.76165082184522,42.811862504914345,4,45.052812399175124,6.001307394664288,7.819910584738979,34.36228893695937,0.1545378145174855,2.993840302441332,1.7690672903629245,36.44953389468884,0.7109561838483387,0.883609185427626,0.3985364304453581
9,17.25,76.4640586404151,65.37581243486733,53.24830334232284,5,59.435641654419214,9.849789179768445,5.007129183301457,32.431212647309636,0.11008783098167696,1.9272607415662013,1.2295095578836261,40.23910834949742,0.6256697558072154,0.8566922376624986,0.26966161605915284
70,17.0,78.21765518901756,56.42160527562409,44.279552803824025,4,52.63838305341347,9.236455598554032,7.2889288447119664,29.301998931938996,0.10029255282887277,2.308078458878592,1.7615431345332586,32.20959331627394,0.537973632589485,0.8739378886900138,0.30012988068956703
61,12.0,76.57681937398172,56.67203995139065,56.332374232584776,4,52.9050388019433,8.9508605795927,6.092303624765128,28.367775983800094,0.10284470401673454,2.758660573977377,1.617385259383651,38.1542077571826,0.5001579009590055,0.8763899352742539,0.343044699857887
71,10.75,89.46039907261444,55.556622925958635,46.390364103891294,6,51.71550146193042,6.848935199746465,7.40641220614571,35.68123580409137,0.11457672939651686,2.657161003670779,1.6259772665987589,34.820625470190194,0.6078418933491117,0.8870355173286977,0.3846702544649737
5,8.75,84.58014336081975,70.42540693371892,43.18471442774545,5,42.317381190502594,9.452413703502375,6.493192507310232,28.27245062131623,0.08635583502860236,1.9664734825734933,1.4601466576213975,43.2401544584516,0.6593893678388033,0.9653376565349224,0.3180537312904873
74,7.25,84.29276089479742,56.65552481345226,47.878108308910335,4,47.65794234767858,8.42446324786324,7.661545102414564,34.72558146254581,0.1100713937366908,2.8066913293721476,1.5883407546902413,34.16798709940393,0.5049842314785736,0.8803260437964084,0.40922700995963524
2,6.25,82.15089703802877,58.41048247374583,43.04082548776447,6,59.31264066149119,9.233589392465845,5.218455076693482,22.441802850159597,0.14842330265121567,2.160228740609402,1.297630587875823,37.37942275278176,0.5085971302788046,0.9682116522702416,0.26469499540000424
53,4.25,89.397305241537,55.618061900699765,44.660206294633916,4,48.49338030700319,6.365791796574652,7.9997938080706605,33.55880579408316,0.13778909572993253,2.5953631985559182,1.5874663759885426,31.242094198515783,0.7274197972488743,0.8924263169710412,0.3894766202365778
36,2.0,84.95647848661748,58.399840704360805,43.99108588065749,4,50.683756129858594,6.927591284066869,7.326598693283083,37.77105266696745,0.1463638414903629,2.787659835298794,1.3554082580319686,28.965616190661983,0.7380462182242863,0.8517934302241555,0.4065860728419001
29,1.75,83.08579205509447,66.8680096763667,44.04979257245373,5,51.861893872598465,6.50628443973085,7.733184297342031,24.94022481351036,0.13395759664652185,2.6009801366924705,1.6167996792225792,49.34869397542485,0.7104021845465607,0.8812836638434259,0.38583107196719946
35,0.75,88.59433157385116,61.68689684403178,51.48994854287821,5,52.66804149842476,6.51106748294049,7.9990598845944945,34.83130559921495,0.12653641311840796,2.915782997813212,1.6564314025982898,35.50560724384054,0.7046428808551882,0.8812692415262328,0.2994869224868286
68,-0.25,72.06189512359727,55.530307930839655,42.99163149738381,4,55.96416899004591,8.021590465962879,7.0062991249561195,30.1627683523315,0.09042355435752666,2.951661778819934,1.8443605973220114,36.861957380632425,0.5081749369371357,0.8583412183706776,0.3673033835424559
30,-1.25,88.54657233016479,74.42498881074691,47.70612315662376,4,53.90174011786876,7.239077259329728,5.754418626789608,41.45490570186351,0.12212052779142768,2.913835663793926,1.4951041908114735,36.41785030038727,0.6862349156703158,0.8928684365499103,0.36585443332665135
55,-2.0,74.37763977056667,56.838407861225065,43.39746622681091,4,50.4992177541235,7.155012653614741,7.88943630448531,29.44639018443733,0.12873073868741475,2.8603493743746573,1.6757990470219013,35.00711740270713,0.7191400327072925,0.9311939567080469,0.414723754830158
65,-3.5,82.13874704285102,57.719835082649865,42.63138056678506,4,56.87339959444974,9.574345566021464,6.837791874559405,35.08958554366045,0.10866552621264369,2.6550991622943942,1.8053483481384975,30.336479513433954,0.5497110248888626,0.8621284635838314,0.3604901154881401
52,-4.75,78.9152190038503,57.929677013096764,48.36759409520388,4,56.67468543816715,6.167530760374762,7.541616581249474,35.34535260641949,0.09811084315993582,2.6927217284622094,1.6739377373059996,36.01200507696277,0.7414013398754948,0.9043873972597773,0.413853407893505
19,-6.25,89.98280891699827,68.80488816395571,44.81282191898026,6,47.342825348577996,8.691338693930994,7.656089603536119,20.5248204169425,0.09719577258882886,2.465016228968951,1.4061977796251854,31.787620074215585,0.586868502900209,0.8889521523515731,0.308590315834828
14,-9.0,86.52205796914713,57.5101066177743,45.158530106117404,4,51.719364511380135,7.006380944207949,7.2161327183589865,35.694790209866575,0.10038459869640806,2.720990558366747,1.7469609909968626,33.741038063745954,0.6991341783388034,0.8733910527175865,0.3949943483147077
32,-9.25,88.8315667942823,57.22075776812349,45.76550530423465,4,46.551158881618555,6.2983236916804115,7.789250483426447,39.54718696685835,0.14323397757831166,2.5459467289782354,1.7136052031966948,46.96404082021101,0.7482628871850536,0.9079969928287919,0.43075412238039973
22,-10.5,87.81435148207946,56.874252903880226,51.681129302655826,4,51.55962560676359,6.527255798143917,7.574921275611972,31.278204830211052,0.1367074049372977,2.627284554690002,1.5969864299290057,36.130018925722844,0.6900289813618824,0.9020556267794808,0.3669498555984052
54,-10.75,80.49669622248261,58.82756032500666,46.78671858985006,4,43.03867366460368,7.4030888897657094,7.662843581023693,38.67281570514993,0.11116875725792255,2.945625749172238,1.7443365227608802,36.813974241417974,0.7055394757753456,0.959594770143742,0.42878277738719933
62,-11.25,80.86658581688454,55.588579148540994,44.51065644171532,4,51.344423630682265,7.692370546645119,6.470414883311297,31.815509364181697,0.09997630647907473,2.419308278582574,1.604542189904282,44.81783628876549,0.5306723125320639,0.8698859148258924,0.3739715781571503
4,-15.0,77.77354579378964,60.42698063547792,55.25980014643087,5,45.61869019374762,8.170784332632994,4.563696899899051,40.05492451885099,0.08745506436797708,2.980330404900776,1.817795815437326,29.96789203835431,0.5013805292809006,0.9560099856991284,0.3767143359619043
24,-15.5,81.59229130855333,57.540141607000216,42.15362874782968,4,47.76374964010687,7.321364013004616,6.9514821874120045,33.585891000553445,0.10433005882557143,2.8858537527583388,1.7546789968828977,27.66874375111564,0.7201450609965196,0.868406773208881,0.4173500529494582
69,-15.5,78.43989418550908,57.15722328167933,42.04802143444707,4,54.63064053827057,7.605496545660079,6.670156308082795,32.430929300863376,0.11671049319432018,2.720404885244205,1.663461771591164,33.32130936617946,0.5363761314977157,0.8654287168622744,0.38083214208319954
47,-16.25,85.64774933870372,60.598104420805406,44.35413995654704,4,51.05479862371429,8.265757366257274,7.34793191326631,41.00178932451885,0.1235638550648013,2.8415643525872545,1.5542398161444277,38.942301691167174,0.7499105955384703,0.9735568349103414,0.3750523963283756
57,-19.5,88.27070508906918,57.3773287897841,42.62510372121313,4,54.41405512281437,7.880423441741879,7.173243312911714,33.25657133375825,0.10633927463434652,2.496819164818849,1.5222679519609206,33.831932407068216,0.5120636633746465,0.9464809601474643,0.3519683289388606
51,-19.75,75.67276306727322,56.07550353641716,46.040902138913225,4,58.41189593132165,6.434805409315738,7.8416598574390495,30.18801726135016,0.11732922357443622,2.7361073073488407,1.6112762699617886,34.90142213120638,0.7236984903814897,0.9386528128495686,0.4237927853046965
26,-21.75,86.30505714758758,59.6694920150615,47.981576742640236,4,46.17058994817677,6.307298710757626,6.385636463013654,28.833642768755965,0.1514581278700075,2.978511537464354,1.7818604016856912,31.8513401925843,0.6464882278458587,0.863150999416585,0.4230142040376372
16,-23.0,87.55711242842948,65.35634775330716,57.939606150483925,4,48.08337508472325,6.96031397149495,7.625991149979834,38.14301795360678,0.09669655106814215,2.6274363706844537,1.668803599577317,37.69398084871555,0.6675108265227907,0.874168862271068,0.4126280022103182
33,-24.75,89.97059815670184,58.160582947734625,51.74591781575662,4,51.0849167305511,6.738084640029575,7.449163719529022,32.61757101798698,0.11527055508715861,2.7704803936705296,1.5790274628085779,32.95776801065492,0.7146951345768054,0.9253577200333695,0.38132143142039543
59,-25.75,77.57501370472961,67.5770102804089,45.2006483940259,4,52.2651524129323,9.918841178208814,6.5556201494044,31.81278242845082,0.09442593293534238,2.818858922326731,1.4550444034228758,41.10589408365028,0.5315493932123535,0.8613622593604414,0.362095857756731
67,-26.25,82.37698476191711,58.9824052474293,44.029730578387905,4,52.095614934085624,9.292607382623896,5.585953310900627,33.000196787907235,0.12082338592098382,2.5169814068812015,1.7365506997944955,35.624191808713974,0.5220255877389226,0.8780896556954179,0.35341843309811044
0,-26.75,77.49080237694724,74.01428612819832,53.71190306898248,5,43.12037280884873,6.623978081344811,4.232334448672798,41.65440364437338,0.1401115011743209,2.5621088666940683,1.216467595436642,49.247746304049855,0.7081106602001055,0.8776040843881758,0.24545624180177517
18,-27.0,88.07667036658835,63.207939734266205,44.79436304213343,4,49.22353511539024,6.630959003973266,6.707577688424056,44.98533735219213,0.13898633768215182,2.856232644358843,1.732859623907897,37.70891350050346,0.6683467415820235,0.9403529497290377,0.4095612511762357
20,-29.0,85.2093566717614,59.30125978392129,48.87198373440078,4,53.6693601389005,6.0170953311347875,6.000759953997473,39.08808243980724,0.11156074175508497,1.5859815525424301,1.9874530308470828,40.237336755187386,0.7283927616249721,0.9172005057678221,0.4482364499981277
66,-31.5,83.79719065418064,64.37872237050941,44.87766422361122,4,54.197848958416344,8.846303286936083,6.26022684075338,31.17269281176302,0.10588944393908313,2.879836687064271,1.5282307520982097,26.642869149951736,0.5253113182939376,0.8508899692890989,0.3328464719222866
17,-41.5,80.34576363180679,58.891198069761664,48.103723669058525,4,55.1625619292438,7.484474028156631,5.524262698497301,33.92464031204531,0.1197373290663012,2.823763322084684,1.5408376422597823,33.05339844107384,0.7232137074983325,0.9069541947027232,0.35666012449171564
40,-44.25,87.69405336441,58.18129417628438,48.64303022655102,6,55.64609700732904,8.97183111378456,6.289466564706354,32.951580646393495,0.09000105224519289,2.172698834640466,1.635983635634846,37.38012295609718,0.6437442560065861,0.9123459631234571,0.3739701094782114
38,-45.5,81.38631621284932,56.21912827832724,50.60453346095227,5,48.59337588513027,6.276375880381075,7.751327258711512,40.39409973756457,0.13295214571590014,2.3628156871565125,1.812356669597794,39.38885868240569,0.6961754113515711,0.8870955678966287,0.22381787871629338
7,-46.0,74.98584458297749,63.207658460712594,54.08881821668878,4,41.53959819657586,7.1590058116550725,4.644885149016018,43.242441308564324,0.1608120379564417,2.4501056347656354,1.8971684721501743,45.09180192247786,0.5466425147215089,0.9660326698036971,0.3348355604789127
1,-54.25,73.66809019706868,61.08484485919075,50.39610290611581,5,45.82458280396084,8.447411578889518,4.557975442608168,27.303616213380455,0.11663618432936917,2.184104976325554,1.828140769114411,29.991844553958995,0.6285586096034029,0.9270138939520655,0.21161260317999944
39,-55.5,84.05391606544713,61.49983720379902,47.54926905477686,4,46.617665787193346,7.914684710233016,7.06144915949593,42.97230980615665,0.12337608120965551,1.8020367732276248,1.6877280740874154,33.74253393264808,0.735236518276654,0.9213878903349382,0.44896038750058
3,-56.0,83.25044568707963,61.23422152178822,50.32108833884497,5,43.69708911051054,9.878338511058235,7.100531293444458,43.48747353910473,0.16948273504276487,2.3968499682166278,1.9374993880184934,27.212312551297988,0.5489957156047863,0.8558795475583699,0.28133258269081607
28,-83.25,85.48236782735174,63.026313350446856,42.0671387608911,5,57.30443592359774,7.5654475691389935,7.383399233274892,38.1568730753454,0.11458738923139164,2.3384246686375914,1.7011792213772816,42.495947497717864,0.5953909680848594,0.8651208138780306,0.4363781554984038
37,-86.5,82.8781987313826,60.11079302334371,43.24565200777686,5,44.621154923197764,8.563206622819132,4.105603457046698,30.56228302314104,0.17940979066546667,2.0519300376475456,1.867843038238896,31.541284418232042,0.6109705811633582,0.9093132476798705,0.34714686532386835
